,Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
378,2021-07-12,6.71231,6.73077,6.69385,6.73077,2301.52
379,2021-07-13,6.73077,6.73077,6.71231,6.73077,4340.96
380,2021-07-14,6.923080000000001,6.923080000000001,6.73077,6.73077,2764.32
381,2021-07-15,6.73077,6.923080000000001,6.63462,6.63462,3250.0
382,2021-07-16,6.63462,6.73077,6.53846,6.73077,1134.64
383,2021-07-19,6.53846,6.692310000000001,6.44231,6.53846,1462.24
384,2021-07-20,6.44231,6.61538,6.44231,6.61538,788.32
386,2021-07-22,6.61538,6.61538,6.61538,6.61538,1243.84
387,2021-07-23,6.73077,6.73077,6.73077,6.73077,150.8
388,2021-07-26,6.73077,6.73077,6.61538,6.73077,84.24
389,2021-07-27,6.692310000000001,6.692310000000001,6.61538,6.692310000000001,552.24
390,2021-07-28,6.61538,6.692310000000001,6.61538,6.692310000000001,637.52
391,2021-07-29,6.53846,6.53846,6.53846,6.53846,5.2
393,2021-08-02,6.692310000000001,6.692310000000001,6.44231,6.46154,4060.16
395,2021-08-04,6.48077,6.48077,6.48077,6.48077,208.0
396,2021-08-05,6.61538,6.61538,6.46154,6.61538,318.24
397,2021-08-06,6.61538,6.63462,6.61538,6.63462,124.8
398,2021-08-09,6.63462,6.63462,6.63462,6.63462,518.96
399,2021-08-10,6.63462,6.63462,6.576919999999999,6.576919999999999,966.16
400,2021-08-11,6.63462,6.63462,6.557689999999999,6.61538,349.44
401,2021-08-13,6.61538,6.61538,6.44231,6.44231,2387.84
402,2021-08-16,6.46154,6.61538,6.44231,6.51923,2824.64
404,2021-08-18,6.557689999999999,6.557689999999999,6.557689999999999,6.557689999999999,9.36
405,2021-08-19,6.59615,6.61538,6.59615,6.61538,314.08
406,2021-08-20,6.53846,6.59615,6.53846,6.59615,399.36
407,2021-08-23,6.59615,6.59615,6.53846,6.59615,726.96
408,2021-08-24,6.59615,6.59615,6.59615,6.59615,1300.0
409,2021-08-25,6.576919999999999,6.576919999999999,6.53846,6.576919999999999,406.64
410,2021-08-26,6.576919999999999,6.576919999999999,6.48077,6.53846,2536.56
411,2021-08-27,6.53846,6.53846,6.53846,6.53846,94.64
412,2021-08-30,6.59615,6.59615,6.46154,6.576919999999999,365.04
413,2021-08-31,6.576919999999999,6.576919999999999,6.53846,6.576919999999999,864.24
414,2021-09-02,6.692310000000001,6.692310000000001,6.5,6.692310000000001,4204.72
415,2021-09-06,6.692310000000001,6.711539999999999,6.61538,6.61538,746.72
416,2021-09-07,6.65385,6.65385,6.63462,6.63462,329.68
419,2021-09-10,6.63462,6.63462,6.63462,6.63462,104.0
420,2021-09-13,6.53846,6.692310000000001,6.53846,6.692310000000001,2104.96
421,2021-09-14,6.557689999999999,6.692310000000001,6.557689999999999,6.692310000000001,163.28
422,2021-09-15,6.63462,6.692310000000001,6.63462,6.692310000000001,1416.48
423,2021-09-16,6.692310000000001,6.692310000000001,6.692310000000001,6.692310000000001,491.92
425,2021-09-20,6.711539999999999,6.711539999999999,6.576919999999999,6.711539999999999,1145.04
